file,episode_id,seed,n_agents,num_steps,episode_step_limit,hit_step_limit,replay_outcome,winner_indices,winner_names,team_names,rewards,statuses
/home/sunrise/orbitwars/replays/rank1/episode-78264665.json,78264665,,4,500,500,True,win,[2],Isaiah @ Tufa Labs,Isaiah @ Tufa Labs | Isaiah @ Tufa Labs | Isaiah @ Tufa Labs | Isaiah @ Tufa Labs,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78265399.json,78265399,1260644563.0,4,500,500,True,win,[0],Isaiah @ Tufa Labs,Isaiah @ Tufa Labs | AurumData | Matheus de Souza Ataide | Azizbek Xasanov,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78265622.json,78265622,1715125229.0,2,286,500,False,win,[0],Isaiah @ Tufa Labs,Isaiah @ Tufa Labs | Martin Oravec,"[1, -1]","[""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78265965.json,78265965,181940681.0,2,500,500,True,win,[1],Isaiah @ Tufa Labs,ASetiawan | Isaiah @ Tufa Labs,"[-1, 1]","[""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78266302.json,78266302,1616915234.0,4,500,500,True,win,[0],Isaiah @ Tufa Labs,Isaiah @ Tufa Labs | 新米エンジニア十一号 | Ochir Dorzhiev | Tatatos,"[1, -1, -1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78266514.json,78266514,23192101.0,4,500,500,True,win,[3],Isaiah @ Tufa Labs,SYC | ajohnston7354 | 0STG0T | Isaiah @ Tufa Labs,"[-1, -1, -1, 1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78266730.json,78266730,775148776.0,4,500,500,True,win,[2],Isaiah @ Tufa Labs,Andrei Asanau | Sukjae Cho | Isaiah @ Tufa Labs | Kevin L.,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78266951.json,78266951,299631066.0,2,500,500,True,win,[1],Isaiah @ Tufa Labs,breso | Isaiah @ Tufa Labs,"[-1, 1]","[""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78266995.json,78266995,1795320298.0,2,500,500,True,win,[1],Isaiah @ Tufa Labs,IAI-RL-NapNap | Isaiah @ Tufa Labs,"[-1, 1]","[""DONE"", ""DONE""]"
/home/sunrise/orbitwars/replays/rank1/episode-78267298.json,78267298,1806396827.0,4,500,500,True,win,[2],Isaiah @ Tufa Labs,Jingjiang Fu | IAI-RL-NapNap | Isaiah @ Tufa Labs | adakoda,"[-1, -1, 1, -1]","[""DONE"", ""DONE"", ""DONE"", ""DONE""]"
