file,episode_id,seed,n_agents,player_idx,seat,team_name,reward,status,num_steps,episode_step_limit,hit_step_limit,replay_outcome,player_outcome,is_win,is_loss,is_tie
/home/sunrise/orbitwars/replays/rank1/episode-78264665.json,78264665,,4,0,P0,Isaiah @ Tufa Labs,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78264665.json,78264665,,4,1,P1,Isaiah @ Tufa Labs,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78264665.json,78264665,,4,2,P2,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78264665.json,78264665,,4,3,P3,Isaiah @ Tufa Labs,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78265399.json,78265399,1260644563.0,4,0,P0,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78265399.json,78265399,1260644563.0,4,1,P1,AurumData,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78265399.json,78265399,1260644563.0,4,2,P2,Matheus de Souza Ataide,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78265399.json,78265399,1260644563.0,4,3,P3,Azizbek Xasanov,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78265622.json,78265622,1715125229.0,2,0,P0,Isaiah @ Tufa Labs,1,DONE,286,500,False,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78265622.json,78265622,1715125229.0,2,1,P1,Martin Oravec,-1,DONE,286,500,False,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78265965.json,78265965,181940681.0,2,0,P0,ASetiawan,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78265965.json,78265965,181940681.0,2,1,P1,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78266302.json,78266302,1616915234.0,4,0,P0,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78266302.json,78266302,1616915234.0,4,1,P1,新米エンジニア十一号,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266302.json,78266302,1616915234.0,4,2,P2,Ochir Dorzhiev,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266302.json,78266302,1616915234.0,4,3,P3,Tatatos,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266514.json,78266514,23192101.0,4,0,P0,SYC,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266514.json,78266514,23192101.0,4,1,P1,ajohnston7354,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266514.json,78266514,23192101.0,4,2,P2,0STG0T,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266514.json,78266514,23192101.0,4,3,P3,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78266730.json,78266730,775148776.0,4,0,P0,Andrei Asanau,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266730.json,78266730,775148776.0,4,1,P1,Sukjae Cho,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266730.json,78266730,775148776.0,4,2,P2,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78266730.json,78266730,775148776.0,4,3,P3,Kevin L.,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266951.json,78266951,299631066.0,2,0,P0,breso,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266951.json,78266951,299631066.0,2,1,P1,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78266995.json,78266995,1795320298.0,2,0,P0,IAI-RL-NapNap,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78266995.json,78266995,1795320298.0,2,1,P1,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78267298.json,78267298,1806396827.0,4,0,P0,Jingjiang Fu,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78267298.json,78267298,1806396827.0,4,1,P1,IAI-RL-NapNap,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78267298.json,78267298,1806396827.0,4,2,P2,Isaiah @ Tufa Labs,1,DONE,500,500,True,win,win,True,False,False
/home/sunrise/orbitwars/replays/rank1/episode-78267298.json,78267298,1806396827.0,4,3,P3,adakoda,-1,DONE,500,500,True,win,loss,False,True,False
/home/sunrise/orbitwars/replays/rank1/episode-78267314.json,78267314,1971586580.0,4,0,P0,史永刚,-1,DONE,464,500,False,win,loss,False,True,False
